Latitude,Longitude,TreeID,SiteID,Abbreviation
35.7705878,-106.2716175,FRM12,74,FRM
35.77062899,-106.2702796,FRM11,74,FRM
35.77087977,-106.2721421,FRM08,74,FRM
35.77095949,-106.2722761,FRM06,74,FRM
35.77100921,-106.2701308,FRM09,74,FRM
35.77104307,-106.2720451,FRM01,74,FRM
35.77107947,-106.2711607,FRM14,74,FRM
35.77109142,-106.272588,FRM03,74,FRM
35.77116623,-106.2723347,FRM02,74,FRM
35.7715248,-106.2725285,FRM04,74,FRM
35.77210473,-106.2705464,FRM13,74,FRM
35.77296774,-106.3461745,CPM13,101,CPM
35.77309628,-106.3459665,CPM12,101,CPM
35.77333399,-106.3456718,CPM10,101,CPM
35.77342103,-106.3459498,CPM14,101,CPM
35.77361392,-106.3456322,CPM09,101,CPM
35.77484866,-106.2779028,FWH09,103,FWH
35.77535236,-106.2788623,FWH08,103,FWH
35.77538512,-106.276628,FWH10,103,FWH
35.77585244,-106.2767683,FWH11,103,FWH
35.77601211,-106.3568575,CPM16,101,CPM
35.77615786,-106.2768727,FWH12,103,FWH
35.7761942,-106.3622816,CPM17,101,CPM
35.77619944,-106.278898,FWH05,103,FWH
35.77644977,-106.3564224,CPM15,101,CPM
35.7767307,-106.3538937,CPM07,101,CPM
35.77687781,-106.2795394,FWH04,103,FWH
35.77694146,-106.2735441,FWH20,103,FWH
35.77700925,-106.3563766,CPM06,101,CPM
35.77704268,-106.3566095,CPM05,101,CPM
35.77710105,-106.2771976,FWH14,103,FWH
35.77725661,-106.3560268,CPM04,101,CPM
35.77728817,-106.3564256,CPM01,101,CPM
35.77728992,-106.3562707,CPM02,101,CPM
35.77738785,-106.277357,FWH15,103,FWH
35.77740772,-106.3562174,CPM03,101,CPM
35.77768983,-106.8030988,JCE-9,22,JCE
35.77778533,-106.8028555,JCE-6,22,JCE
35.77782813,-106.8030685,JCE-8,22,JCE
35.77803716,-106.8033343,JCE-10,22,JCE
35.77830686,-106.2791087,FWH03,103,FWH
35.77843667,-106.8037622,JCE-1,22,JCE
35.77858622,-106.2748758,FWH19,103,FWH
35.77863268,-106.2755957,FWH17,103,FWH
35.77893108,-106.275512,FWH18,103,FWH
35.77909987,-106.2765989,FWH16,103,FWH
35.77916854,-106.8038677,JCE-2,22,JCE
35.7793315,-106.8026513,JCE-4,22,JCE
35.77933392,-106.2783286,FWH02,103,FWH
35.77945633,-106.8035738,JCE-5,22,JCE
35.77953714,-106.8039234,JCE-3,22,JCE
35.77994151,-106.2779953,FWH01,103,FWH
35.78964584,-106.2725627,BAN14,96,BAN
35.79011273,-106.4124005,CPU05,102,CPU
35.79016441,-106.2746734,BAN13,96,BAN
35.79030972,-106.4125146,CPU01,102,CPU
35.79035371,-106.412752,CPU02,102,CPU
35.79040913,-106.4122832,CPU07,102,CPU
35.79045355,-106.4125503,CPU03,102,CPU
35.79087324,-106.2843115,BAN19,96,BAN
35.7912581,-106.4123654,CPU08,102,CPU
